Dates;DAX Index;1COV Index;ADS Index;ALV Index;BAS Index;BAYN Index;BEI Index;BMW  Index;CON  Index;DAI  Index;DB1  Index;DBK  Index;DPW  Index;DTE  Index;EOAN  Index;FME  Index;FRE  Index;HEI  Index;HEN3  Index;IFX  Index;LHA  Index;LIN  Index;LNA  Index;MRK  Index;MUV2  Index;PSM  Index;RWE  Index;SAP  Index;SIE  Index;TKA  Index;VNA  Index;VOW3  Index;WDI  Index
18.02.2014;9659.78;1;86.05;129.2;82.63;99.689;74.1;84.62;168.5;66.66;58.8;30.56;26.575;12.22;12.316;53.21;39.467;57.37;84.4;7.828;18.55;1;148;60.95;158.05;34.935;29.18;58.5;94.73;20.11;18.621;202.1;33.04
19.02.2014;9660.05;1;85.27;129.65;82.75;100.279;74.01;85;168;66.2;58.75;30.271;26.5;12.205;12.312;53.5;39.667;57.87;84.8;7.794;18.465;1;148.7;61.375;158;35.27;29.53;58.34;95.18;20.38;18.935;201.1;33.51
20.02.2014;9618.85;1;84.74;129.75;82.24;99.59;73.46;84.43;168.2;66.27;58.12;30.007;26.145;12.21;12.457;53.35;39.783;57.3;81.22;7.699;18.36;1;147.7;61.55;157.65;34.71;29.86;57.91;95.04;19.84;18.935;198;33.765
21.02.2014;9656.95;1;84.26;129.1;82.17;99.787;72.9;85.22;169.15;67.13;59.58;29.99;26.54;12.28;12.659;52.66;39.667;58.48;81;7.893;18.375;1;148.05;61.725;157.35;34.405;30.625;58.09;94.85;20.085;19.03;201;33.5
24.02.2014;9708.94;1;84.86;130.8;83.26;100.575;73.58;84.59;169.15;67.69;59.52;30.386;26.51;12.51;12.747;52.85;39.667;59.04;81.38;7.943;18.775;1;149;62.5;158.7;34.75;30.725;58.22;95.69;20.15;18.845;187.9;33.905
25.02.2014;9699.35;1;84.49;131;83.08;99.689;74.63;83.95;172.95;67.17;59.47;30.267;26.9;12.63;12.448;49.82;38.017;59.96;82.08;8.001;19;1;149.65;62.85;158.65;34.57;30.35;58.33;96.8;20.01;18.973;190.1;33.935
26.02.2014;9661.73;1;84.07;131;83.81;98.754;74.6;84.31;172.7;67.35;58.85;29.845;27.015;12.375;12.091;49.215;37.167;59.63;81.68;8.115;19.035;1;149.75;62.6;158.75;33.55;29.065;58.5;96.69;19.825;19.097;189;32.88
27.02.2014;9588.33;1;83.14;128;82;98.262;74;83.8;173;67.04;58.53;29.794;26.775;12.315;12.193;48.6;36.933;59.45;80.73;8.11;18.96;1;149.25;62.75;157.65;34.08;28.94;58.08;96.01;19.725;19.03;188.35;32.8
28.02.2014;9692.08;1;84.4;129.7;83.42;101.263;74.03;84.2;176.35;67.52;59.44;29.998;27.21;12.295;12.171;50.11;37.533;59.72;80.85;8.22;18.79;1;150.15;63.5;158.65;34.55;29.015;58.52;96.76;19.76;18.716;189;33.99
03.03.2014;9358.89;1;81.07;125.45;79.97;96.54;72.09;81.65;169.75;65.37;56.98;29.075;26.08;11.95;11.876;49.265;36.65;58.11;79.19;8.005;18.065;1;146.45;61.1;154.2;33.32;28.715;56.6;92.97;18.97;18.864;183.2;32.49
04.03.2014;9589.15;1;83.4;126.9;82.19;99.64;73.52;82.78;174.85;68.04;58.87;29.534;27.005;12.225;12.153;49.54;37.183;59.62;79.56;8.159;18.43;1;149.05;62.975;156.9;34.51;29.305;57.65;95.53;19.535;18.949;187.15;33.14
05.03.2014;9542.02;1;80.92;126.2;81.17;98.4;71.42;82.48;173.15;68.93;58.55;29.326;26.75;12.2;12.118;48.78;36.683;60.42;78.56;8.366;18.66;1;148;62.5;156.2;34.5;29.13;57.13;95.56;19.685;18.459;185.6;33.095
