Dates;SPTR Index;SPTR Index;XNDX Index;RU20INTR Index;0000AR Index;SXXR Index;TUKXG Index;SPI Index;XAUUSD Curncy;DWGRST Index;BCOMTR Index;MXEF Index;JPEIGLBL Index;LG30TRUU Index;IBOXIG Index;BCIT1T Index;BERPGA Index;BEUSGA Index;USC0TR01 Index
03.01.2000;1962.85588;1962.85588;3718.36275;1887.45;12355.62019;478.52;5050.57974;3128.57658;289;1795.67843;137.24804;486.49167;168.54;306.54193;93.86245;108.3959;97.0974;163.7732;122.4941
04.01.2000;1868.23889;1868.23889;3442.88764;1796.49136;11717.71438;459.53;4804.12157;3023.99541;282.25;1761.22938;135.0456;485.52222;165.48;306.07938;92.80419;108.5178;97.1065;164.6193;121.2544
05.01.2000;1865.11794;1865.11794;3392.62374;1791.56129;11554.81209;448.19;4709.76553;2994.18829;280;1733.89018;133.84474;474.75967;164.69;305.75341;92.46094;108.438;97.0593;163.9935;120.8292
06.01.2000;1877.80187;1877.80187;3249.78612;1788.40754;11552.91761;446.24;4674.91612;3029.22745;281.1;1747.05522;134.67529;472.52353;165.43;305.26902;92.902;108.1997;96.9084;164.6605;121.53
07.01.2000;1926.2375;1926.2375;3429.09991;1835.3947;11976.66687;455.8;4688.3359;3091.35437;281.75;1773.05272;134.09651;477.80891;166.21;306.20494;92.80299;108.2026;97.4073;164.7625;121.3962
10.01.2000;1955.04337;1955.04337;3624.93909;1893.2911;12300.75889;462.97;4783.10318;3095.27627;281.48;1797.46126;135.01023;493.80655;166.87;306.08529;92.96618;108.103;97.6198;164.5961;121.9048
11.01.2000;1919.27491;1919.27491;3437.75688;1848.30458;12006.9442;459.85;4714.30873;3084.79797;283.25;1783.09713;135.87146;482.86148;164.48;305.05698;92.08773;108.0146;97.1239;163.8845;121.2743
12.01.2000;1915.2424;1915.2424;3381.08423;1842.77859;11947.74198;459.84;4736.06768;3089.34671;282.35;1785.63976;137.84028;486.34383;164.3;304.55347;92.16215;108.2531;97.016;163.5868;121.5648
13.01.2000;1944.02767;1944.02767;3521.20031;1890.40043;12088.72817;462.27;4749.59581;3091.4616;284.25;1786.42245;139.19622;495.01169;165.72;305.27504;92.58817;108.2786;97.1743;164.3478;121.9278
14.01.2000;1988.21157;1988.21157;3654.60909;1937.47018;12130.88279;473.43;4862.91231;3122.98177;284.2;1800.29281;143.00108;508.36064;167.96;305.07705;93.44267;107.9733;97.0545;164.049;123.4016
17.01.2000;1988.21157;1988.21157;3654.60909;1937.47018;12362.75433;476.71;4883.19548;3126.17211;285.5;1807.01544;143.00108;519.08761;167.96;305.07705;93.44267;107.9733;97.0346;164.1719;123.9616
18.01.2000;1978.74432;1978.74432;3714.6315;1963.74531;12500.66301;466.68;4771.98961;3084.55231;288.65;1805.80814;145.24106;516.35072;168.03;305.30262;93.52302;107.8345;96.7365;163.7949;123.7363
19.01.2000;1979.86564;1979.86564;3747.3523;1988.78285;12547.75032;464.5;4748.24456;3064.93988;289.63;1805.51472;146.37226;505.37295;168.42;305.45611;93.58259;107.7837;96.9356;164.0624;123.7563
20.01.2000;1956.35336;1956.35336;3779.32357;2007.10255;12604.22862;463.31;4686.71424;3040.76145;288.5;1794.11366;146.38679;502.11572;167.56;305.36913;93.03412;107.8648;96.9627;163.7892;123.1798
21.01.2000;1966.12031;1966.12031;3817.44128;2048.52245;12710.76886;462.03;4702.11356;3043.41934;289.1;1800.14667;147.29264;502.91061;169.21;305.6943;93.79348;108.1415;97.0045;164.0685;124.1762
24.01.2000;1925.3503;1925.3503;3655.7485;2021.32435;12516.19957;464.36;4764.22308;3001.08523;287.6;1793.84032;147.76647;506.61906;170.91;306.23559;94.73643;108.2427;97.0725;164.6236;125.1163
25.01.2000;1932.9768;1932.9768;3745.92172;2011.32656;12593.96851;456.41;4672.63081;2946.87859;287.05;1780.04581;148.3647;497.66448;170.06;306.18115;94.60831;108.5086;97.3425;164.7082;124.8747
26.01.2000;1931.431;1931.431;3620.77546;2016.32357;12739.90408;461.6;4725.94771;2958.7914;286;1794.94054;147.69262;500.67413;170.82;306.22424;95.04947;108.6662;97.281;165.1311;125.3192
27.01.2000;1945.73724;1945.73724;3633.3805;2023.30975;13015.55383;467.67;4825.49055;3008.28597;286.85;1813.49874;149.55533;507.68509;172.58;306.19656;96.09702;108.6148;96.8447;165.1385;126.7577
28.01.2000;1919.05308;1919.05308;3533.66469;2002.68805;12706.9836;466.8;4811.00478;2982.4478;283.25;1826.94712;150.98893;511.42324;173.66;305.67925;97.52429;108.9104;96.9017;165.4847;128.5568
31.01.2000;1976.16161;1976.16161;3676.96346;1978.32321;12867.41072;457.39;4722.06416;2931.77438;283.5;1819.61091;152.19866;505.80906;173.91;305.69015;97.7158;109.1735;97.248;165.1887;129.1873
01.02.2000;1998.60321;1998.60321;3815.38937;2009.94335;12992.94391;464.71;4732.067;2976.71628;282.63;1823.7433;153.48785;510.2638;174.77;305.99668;97.84786;109.1361;97.599;165.5803;129.3007
02.02.2000;1987.51383;1987.51383;3817.59885;2023.21655;13316.8083;470.59;4707.76678;2996.94389;284.75;1812.22598;151.48125;511.63645;174.03;306.05552;97.09906;109.7576;97.5427;166.0758;128.6056
03.02.2000;1983.23024;1983.23024;3894.87568;2041.88498;13344.76633;476.86;4626.60252;3039.69772;287.45;1793.32019;150.00707;515.09046;173.15;307.23717;96.62118;110.1395;97.7335;166.9785;126.912
04.02.2000;2006.18083;2006.18083;3965.22451;2081.94845;13919.68461;478.23;4562.45322;3030.13202;310.3;1805.20814;154.69162;527.18308;176.9;308.0538;97.73008;109.9923;97.4523;166.1737;128.452
07.02.2000;2002.55258;2002.55258;4018.59302;2105.52992;13826.88559;474.21;4517.60889;3025.74665;302.75;1794.42414;152.47703;532.8445;177.52;308.61261;97.21319;109.8485;97.3539;165.6996;128.2918
08.02.2000;2009.81071;2009.81071;4115.11287;2107.46533;13910.33006;484.58;4646.97468;3027.60172;301.75;1767.19405;149.26511;532.03199;176.98;309.47612;96.47252;109.8704;97.613;166.3216;127.2087
09.02.2000;1959.8589;1959.8589;4002.17698;2092.55291;13808.80254;484.54;4655.84033;2986.67916;306.75;1762.20218;150.5261;532.42723;175.89;309.33124;95.86857;109.717;97.4846;165.9541;126.6782
10.02.2000;1976.35139;1976.35139;4144.37468;2127.24354;13911.68906;483.6;4633.17847;2975.91195;315;1755.99899;153.84;537.70866;177.45;309.36033;95.94896;109.6537;97.2146;165.3887;127.3019
11.02.2000;1939.62546;1939.62546;4031.04953;2112.46955;13689.34287;483.35;4532.43274;2974.81537;310.95;1741.51441;153.41657;537.40378;177.7;309.56962;96.32004;109.7181;97.2229;165.916;127.6201
14.02.2000;1954.15757;1954.15757;4070.45617;2135.01786;13967.4425;480.47;4464.07034;2956.79928;308.15;1731.53791;154.47495;531.29493;179.5;310.28425;97.25666;109.7541;97.5161;166.3784;128.3734
15.02.2000;1962.98679;1962.98679;4064.57317;2127.20325;13933.90743;470.54;4417.81986;2917.66661;301.75;1725.13313;153.17886;527.32287;179.7;310.57702;96.42195;109.8504;97.4349;166.2483;127.8593
16.02.2000;1938.8765;1938.8765;4056.50984;2152.1811;14061.78075;476.65;4538.34374;2959.93216;302.5;1731.50274;153.26303;526.2249;179.08;310.48273;96.25958;109.7768;97.3191;166.2316;127.5949
17.02.2000;1938.93878;1938.93878;4184.08676;2193.2242;14122.72008;481.5;4581.36607;2991.34463;300.5;1742.86134;152.70525;530.31431;178.82;310.50525;96.2836;109.7635;97.3199;166.3136;127.564
