Dates;BENCH Index;SPTR Index;XNDX Index;RU20INTR Index;0000AR Index;SXXR Index;TUKXG Index;SPI Index;TPXDDVD Index;XAUUSD Curncy;DWGRST Index;BCOMTR Index;MXEF Index;JPEIGLBL Index;LG30TRUU Index;IBOXIG Index;BCIT1T Index;BERPGA Index;BEUSGA Index;USC0TR01 Index
03.01.2000;2002.113;2002.113;3792.73;1925.199;17977.46;478.52;3140.73;5022.86;1877.23;289;1831.59;139.993;496.22;171.91;306.5419;95.7397;108.3959;97.0974;163.7732;124.944
04.01.2000;1925.407;1925.407;3548.24;1851.464;17526.3;459.53;3021.19;4853.06;1872.07;282.25;1815.12;139.178;500.38;170.55;306.0794;95.644;108.5178;97.1065;164.6193;124.9648
05.01.2000;1929.278;1929.278;3509.33;1853.191;17348.76;448.19;2962.29;4802.81;1800.53;280;1793.54;138.449;491.09;170.35;305.7534;95.6416;108.438;97.0593;163.9935;124.9857
06.01.2000;1931.507;1931.507;3342.73;1839.556;17337.78;446.24;2922.11;4861.37;1754.48;281.1;1797.02;138.527;486.04;170.16;305.269;95.559;108.1997;96.9084;164.6605;125.0058
07.01.2000;1983.832;1983.832;3531.63;1890.273;18011.23;455.8;2948.17;4971.8;1742.95;281.75;1826.07;138.106;492.1;171.18;306.2049;95.5778;108.2026;97.4073;164.7625;125.0259
10.01.2000;2006.07;2006.07;3719.55;1942.706;18381.14;462.97;2994.84;4982.29;1742.95;281.48;1844.38;138.534;506.69;171.23;306.0853;95.3926;108.103;97.6198;164.5961;125.0865
11.01.2000;1979.924;1979.924;3546.39;1906.711;18039.5;459.85;2954.61;4968.49;1829.95;283.25;1839.44;140.165;498.12;169.68;305.057;94.9977;108.0146;97.1239;163.8845;125.1066
12.01.2000;1971.359;1971.359;3480.15;1896.772;17863.8;459.84;2960.91;4977.76;1806.07;282.35;1837.96;141.879;500.59;169.11;304.5535;94.8625;108.2531;97.016;163.5868;125.1266
13.01.2000;1995.35;1995.35;3614.16;1940.307;17987.69;462.27;2960.28;4985.22;1807.22;284.25;1833.58;142.871;508.08;170.09;305.275;95.0325;108.2786;97.1743;164.3478;125.1467
14.01.2000;2016.643;2016.643;3706.87;1965.176;17858.54;473.43;3017.71;5042.25;1796.61;284.2;1826.04;145.046;515.63;170.36;305.0771;94.7789;107.9733;97.0545;164.049;125.1662
17.01.2000;2016.643;2016.643;3706.87;1965.176;18118.83;476.71;3023.04;5047.21;1833.37;285.5;1825.45;145.046;524.38;170.36;305.0771;94.7789;107.9733;97.0346;164.1719;125.226
18.01.2000;2002.885;2002.885;3759.95;1987.703;18354.69;466.68;2948.3;4972.39;1815.79;288.65;1827.84;147.013;522.65;170.08;305.3026;94.664;107.8345;96.7365;163.7949;125.2459
19.01.2000;2004.02;2004.02;3793.07;2013.046;18451.77;464.5;2921.51;4948.53;1778.12;289.63;1827.54;148.158;511.54;170.48;305.4561;94.7243;107.7837;96.9356;164.0624;125.2661
20.01.2000;1989.807;1989.807;3843.95;2041.424;18554.04;463.31;2877.67;4902.95;1780.12;288.5;1824.79;148.89;510.7;170.43;305.3691;94.625;107.8648;96.9627;163.7892;125.2862
21.01.2000;1984.012;1984.012;3852.18;2067.164;18455.96;462.03;2876.57;4902.42;1773.61;289.1;1816.53;148.633;507.49;170.75;305.6943;94.647;108.1415;97.0045;164.0685;125.3062
24.01.2000;1929.201;1929.201;3663.06;2025.367;18079.44;464.36;2892.13;4841.11;1796.3;287.6;1797.43;148.062;507.63;171.25;306.2356;94.9259;108.2427;97.0725;164.6236;125.3665
25.01.2000;1940.902;1940.902;3761.28;2019.573;18179.32;456.41;2844.2;4755.05;1779.53;287.05;1787.34;148.973;499.7;170.76;306.1812;94.9962;108.5086;97.3425;164.7082;125.3867
26.01.2000;1932.783;1932.783;3623.31;2017.735;18344.28;461.6;2890.21;4771.43;1813.95;286;1796.2;147.796;501.02;170.94;306.2242;95.116;108.6662;97.281;165.1311;125.4069
27.01.2000;1925.307;1925.307;3595.23;2002.065;18479.92;467.67;2919.85;4853.21;1837.73;286.85;1794.46;147.985;502.35;170.77;306.1966;95.088;108.6148;96.8447;165.1385;125.4267
28.01.2000;1872.612;1872.612;3448.15;1954.223;17935.84;466.8;2890.22;4804.86;1855.94;283.25;1782.73;147.335;499.05;169.45;305.6793;95.1642;108.9104;96.9017;165.4847;125.4457
31.01.2000;1919.841;1919.841;3572.17;1921.941;18129.75;457.39;2842.13;4717.22;1861.78;283.5;1767.75;147.861;491.39;168.95;305.6902;94.9309;109.1735;97.248;165.1887;125.5055
01.02.2000;1940.244;1940.244;3703.98;1951.253;18245.5;464.71;2852.29;4791.86;1849.99;282.63;1770.49;149.006;495.36;169.66;305.9967;94.9907;109.1361;97.599;165.5803;125.5251
02.02.2000;1940.211;1940.211;3726.74;1975.064;18749.71;470.59;2857.68;4827.56;1866.02;284.75;1769.1;147.876;499.46;169.89;306.0555;94.7881;109.7576;97.5427;166.0758;125.5448
03.02.2000;1962.208;1962.208;3853.59;2020.241;19016.73;476.86;2867.43;4887.15;1885.24;287.45;1774.31;148.417;509.63;171.32;307.2372;95.597;110.1395;97.7335;166.9785;125.5667
04.02.2000;1961.443;1961.443;3876.8;2035.521;19689.9;478.23;2804.24;4869.56;1898.03;310.3;1764.95;151.242;515.43;172.95;308.0538;95.5507;109.9923;97.4523;166.1737;125.5875
07.02.2000;1961.3;1961.3;3935.81;2062.156;19576.39;474.21;2774.18;4859.41;1912.82;302.75;1757.46;149.336;521.87;173.87;308.6126;95.2106;109.8485;97.3539;165.6996;125.649
08.02.2000;1985.492;1985.492;4065.32;2081.965;19886.07;484.58;2849.98;4867.8;1894.03;301.75;1745.81;147.459;525.59;174.84;309.4761;95.3052;109.8704;97.613;166.3216;125.6695
09.02.2000;1944.572;1944.572;3970.96;2076.231;19789.86;484.54;2863.4;4807.2;1905.24;306.75;1748.46;149.352;528.27;174.52;309.3312;95.1208;109.717;97.4846;165.9541;125.6901
